record,ms,mode,target_left,target_right,speed_left_mm_s,speed_right_mm_s,pwm_left,pwm_right,raw_left,raw_right,total_left,total_right,enable
D,36835,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36845,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36855,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36865,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36875,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36885,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36895,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36905,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36915,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36925,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36935,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36945,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36955,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36965,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36975,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36985,0,0,0,0,0,0,0,0,0,-1,-11,1
D,36995,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37005,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37015,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37025,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37035,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37045,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37055,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37065,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37075,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37085,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37095,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37105,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37115,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37125,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37135,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37145,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37155,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37165,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37175,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37185,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37195,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37205,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37215,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37225,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37235,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37245,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37255,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37265,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37275,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37285,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37295,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37305,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37315,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37325,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37335,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37345,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37355,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37365,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37375,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37385,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37395,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37405,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37415,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37425,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37435,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37445,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37455,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37465,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37475,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37485,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37495,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37505,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37515,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37525,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37535,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37545,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37555,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37565,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37575,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37585,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37595,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37605,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37615,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37625,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37635,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37645,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37655,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37665,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37675,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37685,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37695,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37705,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37715,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37725,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37735,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37745,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37755,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37765,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37775,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37785,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37795,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37805,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37815,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37825,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37835,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37845,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37855,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37865,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37875,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37885,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37895,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37905,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37915,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37925,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37935,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37945,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37955,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37965,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37975,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37985,0,0,0,0,0,0,0,0,0,-1,-11,1
D,37995,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38005,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38015,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38025,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38035,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38045,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38055,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38065,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38075,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38085,0,0,0,0,0,0,0,0,0,-1,-11,1
D,38095,0,0,0,0,0,0,0,0,0,-1,-11,1
